file,target,pers_sd,pers_block_avg
/Users/katasik/stat//immtest.2020-02-07-1659.data.d2c74513-b0ed-4843-86cd-31766dedbf4b.txt,chall_neg,462.0501458361898,668.8125
/Users/katasik/stat//immtest.2020-02-07-1659.data.d2c74513-b0ed-4843-86cd-31766dedbf4b.txt,chall_pos,462.0501458361898,1400
/Users/katasik/stat//immtest.2020-02-07-1659.data.d2c74513-b0ed-4843-86cd-31766dedbf4b.txt,crit_neg,462.0501458361898,1107.032258064516
/Users/katasik/stat//immtest.2020-02-07-1659.data.d2c74513-b0ed-4843-86cd-31766dedbf4b.txt,crit_pos,462.0501458361898,1400
/Users/katasik/stat//immtest.2020-02-12-1357.data.afdc3c9f-d6cc-493c-b754-79efb2dfe8a9.txt,chall_neg,0,1400
/Users/katasik/stat//immtest.2020-02-12-1357.data.afdc3c9f-d6cc-493c-b754-79efb2dfe8a9.txt,chall_pos,0,1400
/Users/katasik/stat//immtest.2020-02-12-1357.data.afdc3c9f-d6cc-493c-b754-79efb2dfe8a9.txt,crit_neg,0,1400
/Users/katasik/stat//immtest.2020-02-12-1357.data.afdc3c9f-d6cc-493c-b754-79efb2dfe8a9.txt,crit_pos,0,1400
/Users/katasik/stat//immtest.2020-02-12-1633.data.1ad5a282-f329-4c5e-beac-4b977086125a.txt,chall_neg,172.06043423310823,689.75
/Users/katasik/stat//immtest.2020-02-12-1633.data.1ad5a282-f329-4c5e-beac-4b977086125a.txt,chall_pos,172.06043423310823,661.8
/Users/katasik/stat//immtest.2020-02-12-1633.data.1ad5a282-f329-4c5e-beac-4b977086125a.txt,crit_neg,172.06043423310823,686.2413793103449
/Users/katasik/stat//immtest.2020-02-12-1633.data.1ad5a282-f329-4c5e-beac-4b977086125a.txt,crit_pos,172.06043423310823,635.8965517241379
/Users/katasik/stat//immtest.2020-02-12-1633.data.1ce93142-8703-4f0c-a0ff-4620a77aed5d.txt,chall_neg,189.92852430069385,623.3333333333334
/Users/katasik/stat//immtest.2020-02-12-1633.data.1ce93142-8703-4f0c-a0ff-4620a77aed5d.txt,chall_pos,189.92852430069385,689.8484848484849
/Users/katasik/stat//immtest.2020-02-12-1633.data.1ce93142-8703-4f0c-a0ff-4620a77aed5d.txt,crit_neg,189.92852430069385,732.1
/Users/katasik/stat//immtest.2020-02-12-1633.data.1ce93142-8703-4f0c-a0ff-4620a77aed5d.txt,crit_pos,189.92852430069385,662.8214285714286
/Users/katasik/stat//immtest.2020-02-12-1633.data.96938384-b752-454e-b2de-b28ed62cf93e.txt,chall_neg,193.80504134398373,792.8214285714286
/Users/katasik/stat//immtest.2020-02-12-1633.data.96938384-b752-454e-b2de-b28ed62cf93e.txt,chall_pos,193.80504134398373,757.1724137931035
/Users/katasik/stat//immtest.2020-02-12-1633.data.96938384-b752-454e-b2de-b28ed62cf93e.txt,crit_neg,193.80504134398373,670.2666666666667
/Users/katasik/stat//immtest.2020-02-12-1633.data.96938384-b752-454e-b2de-b28ed62cf93e.txt,crit_pos,193.80504134398373,715.4642857142857
/Users/katasik/stat//immtest.2020-02-12-1634.data.b183f44f-f3c5-4bf7-9961-050c3776e613.txt,chall_neg,209.327695540068,801.060606060606
/Users/katasik/stat//immtest.2020-02-12-1634.data.b183f44f-f3c5-4bf7-9961-050c3776e613.txt,chall_pos,209.327695540068,743.7096774193549
/Users/katasik/stat//immtest.2020-02-12-1634.data.b183f44f-f3c5-4bf7-9961-050c3776e613.txt,crit_neg,209.327695540068,840.7142857142857
/Users/katasik/stat//immtest.2020-02-12-1634.data.b183f44f-f3c5-4bf7-9961-050c3776e613.txt,crit_pos,209.327695540068,848.53125
/Users/katasik/stat//immtest.2020-02-12-1634.data.c43fc71c-89b2-4f3a-acfc-45c91bd6faac.txt,chall_neg,202.80443661330807,795.2
/Users/katasik/stat//immtest.2020-02-12-1634.data.c43fc71c-89b2-4f3a-acfc-45c91bd6faac.txt,chall_pos,202.80443661330807,784.1935483870968
/Users/katasik/stat//immtest.2020-02-12-1634.data.c43fc71c-89b2-4f3a-acfc-45c91bd6faac.txt,crit_neg,202.80443661330807,701.2592592592592
/Users/katasik/stat//immtest.2020-02-12-1634.data.c43fc71c-89b2-4f3a-acfc-45c91bd6faac.txt,crit_pos,202.80443661330807,749.3225806451613
/Users/katasik/stat//immtest.2020-02-12-1635.data.545baab4-cd1c-4d94-9c6c-ff676c109f0f.txt,chall_neg,186.5142502776344,646.8620689655172
/Users/katasik/stat//immtest.2020-02-12-1635.data.545baab4-cd1c-4d94-9c6c-ff676c109f0f.txt,chall_pos,186.5142502776344,722.2413793103449
/Users/katasik/stat//immtest.2020-02-12-1635.data.545baab4-cd1c-4d94-9c6c-ff676c109f0f.txt,crit_neg,186.5142502776344,550.9310344827586
/Users/katasik/stat//immtest.2020-02-12-1635.data.545baab4-cd1c-4d94-9c6c-ff676c109f0f.txt,crit_pos,186.5142502776344,658.64
/Users/katasik/stat//immtest.2020-02-12-1635.data.5ee395b6-6d93-48b2-8385-f3c0d25459e8.txt,chall_neg,118.60744817092723,575.3125
/Users/katasik/stat//immtest.2020-02-12-1635.data.5ee395b6-6d93-48b2-8385-f3c0d25459e8.txt,chall_pos,118.60744817092723,646.8709677419355
/Users/katasik/stat//immtest.2020-02-12-1635.data.5ee395b6-6d93-48b2-8385-f3c0d25459e8.txt,crit_neg,118.60744817092723,641.6666666666666
/Users/katasik/stat//immtest.2020-02-12-1635.data.5ee395b6-6d93-48b2-8385-f3c0d25459e8.txt,crit_pos,118.60744817092723,593.9615384615385
